Theme,Subtheme,Deaf comments P3
1. Contextual Localisation & Completeness,,
,1.1 Missing Real-world Steps ,"(U1) “Please add options such as ‘serve on a plate box (take away)’, because food vendors always ask me this.”"
2. Empowerment & Communication Efficiency,,
,2.1 Usability & Convenience ,(U2) “Using the text-to-speech system feels very good and convenient. It makes ordering food with hearing vendors much easier.”
,2.1 Usability & Convenience ,(U3) “This is a useful new innovation.”
,2.1 Usability & Convenience ,(U4) “This is an application that provides audio output for hearing people.”
3. Scalability & Future Expansion ,,
,3.1 Content Expansion ,"(U5) “In the app, I would like to add more everyday food items and have clear food images so Deaf users can easily understand what they are"
,3.2 Domain Expansion ,"(U6) “In the future, I would like an application for calling a ride that includes voice output, so I can specify my destination.”"
,,
,,
,,
,,
,,
,,
,,
,,
